COMMONWEALTH OF MASSACHUSETTS  
CAMBRIDGE DIVISION  
DISTRICT COURT DEPARTMENT  

------------------------------------------------------  
KEVIN THOMPSON,  
    Plaintiff,  

v.                                                      Civil Action No. __________  
34.  In Blackett v. Olanoff, 371 Mass. 714 (1977), the Supreme Judicial Court held that a landlord breaches the covenant of quiet enjoyment when the landlord, by action or inaction, creates or permits conditions on the property that substantially interfere with tenants’ use and enjoyment, even if the landlord does not specifically intend the interference.

35.  In Doe v. New Bedford Housing Authority, 417 Mass. 273 (1994), the Court reiterated that interference is “substantial” when it materially impairs the character and value of the tenancy, distinguishing such conditions from mere inconvenience or annoyance.

36.  In Simon v. Solomon, 385 Mass. 91 (1982), the Court recognized that persistent, disruptive conditions (there, recurrent flooding and sewage problems) can give rise to liability for breach of quiet enjoyment and may support an award of damages for emotional distress.

37.  Similarly, in cases such as Jablonski v. Casey, 64 Mass. App. Ct. 744 (2005), and Al-Ziab v. Mourgis, 424 Mass. 847 (1997), Massachusetts appellate courts have held that landlords may be liable for failing to prevent or remedy serious interferences, including noise and conditions that disturb tenants’ use of their homes.

38.  G.L. c. 186, § 14 provides, in relevant part, that a landlord shall not “directly or indirectly interfere with the quiet enjoyment of any residential premises by the occupant,” and that a landlord who does so is liable for actual and statutory damages.

39.  Defendant, as Plaintiff’s landlord, owed Plaintiff a statutory and common-law duty not to directly or indirectly interfere with Plaintiff’s quiet enjoyment of the Premises and to refrain from acts or omissions that would substantially deprive Plaintiff of the beneficial use of the Premises.

40.  By undertaking, authorizing, or permitting extensive renovation and construction in the adjacent unit in a manner that created persistent, loud, and disruptive noise and allowed dust to infiltrate the Premises, without implementing reasonable mitigation measures, Defendant has directly and indirectly interfered with Plaintiff’s quiet enjoyment of the Premises.

41.  Defendant’s acts and omissions were within her control and foreseeably caused a level of noise and disturbance that went beyond that which is reasonably expected in multi-unit residential housing, especially for a tenant who works from home, and continued for a prolonged period with no adequate relief.

42.  The interference caused by the Construction Disturbance and dust has been “substantial” within the meaning of Massachusetts law, as it has materially impaired Plaintiff’s ability to live in, work in, and enjoy the Premises during normal daytime hours over a period of at least two months and continuing.

43.  Defendant’s conduct constitutes an “act or omission” that “directly or indirectly interfere[s] with the quiet enjoyment” of residential premises within the meaning of G.L. c. 186, § 14.

44.  Defendant’s offer of a nominal rent reduction of approximately $100 for one month does not cure or negate the ongoing breach, particularly given that the interference has persisted and is expected to continue for multiple months.

45.  Even where landlords undertake building work for legitimate purposes, they remain obligated to avoid or reasonably limit substantial interference with tenants’ quiet enjoyment. See Blackett, 371 Mass. at 718–19 (landlord liable where its arrangements for lawful activity created ongoing disturbance); see also Doe, 417 Mass. at 283–84.

46.  Under G.L. c. 186, § 14 and the cases interpreting it, a breach of the covenant of quiet enjoyment does not require proof of an intent to harm the tenant; it is enough that the landlord’s actions or failures to act foreseeably and substantially interfere with the tenant’s use and enjoyment. See Blackett, 371 Mass. at 718; Al-Ziab, 424 Mass. at 851.

47.  As a direct and proximate result of Defendant’s breach of the covenant of quiet enjoyment, Plaintiff has suffered actual damages, including but not limited to loss of the full rental value of the Premises during periods of significant interference, disruption of work and daily life, discomfort, loss of peace and rest, and mental and emotional distress occasioned by the persistent disruption and dust.

48.  Plaintiff reasonably estimates his actual damages to be at least $1,500.00 and may seek additional damages as supported by evidence.

49.  Pursuant to G.L. c. 186, § 14, Plaintiff is entitled to his actual damages or three months’ rent, whichever is greater, together with costs of the action and, in the discretion of the Court and as authorized by statute, reasonable attorney’s fees (even though Plaintiff is currently self-represented). See also, e.g., Darmetko v. Boston Hous. Auth., 378 Mass. 758 (1979) (discussing remedies under G.L. c. 186, § 14); Wolfberg v. Hunter, 385 Mass. 390 (1982) (landlord liability under § 14).

50.  Additional Massachusetts statutes and decisions reinforce tenants’ rights to habitable and reasonably quiet premises, including:  
   a.  G.L. c. 186, §§ 11–15 (tenant protections and remedies);  
   b.  G.L. c. 239, § 2A (retaliatory evictions and tenant protections);  
   c.  Trustees of Cambridge Point Condo. Trust v. Cambridge Point, LLC, 478 Mass. 697 (2018) (landlord/owner duties regarding building conditions);  
   d.  Hemingway v. Hemingway, 363 Mass. 184 (1973) (recognizing warranty of habitability, often applied together with quiet enjoyment principles).

51.  In light of the foregoing, Defendant has breached the covenant of quiet enjoyment implied in Plaintiff’s tenancy and as codified in G.L. c. 186, § 14.


### V. PRAYER FOR RELIEF

WHEREFORE, Plaintiff Kevin Thompson respectfully requests that this Honorable Court enter judgment in his favor and against Defendant Lydia Grant, and grant the following relief:

A.  A declaration that Defendant has breached the covenant of quiet enjoyment of the Premises in violation of G.L. c. 186, § 14 and Massachusetts common law;

B.  An award of actual damages to Plaintiff in an amount to be determined at trial, but not less than One Thousand Five Hundred Dollars ($1,500.00);

C.  Pursuant to G.L. c. 186, § 14, an award of statutory damages of not less than three months’ rent (3 × $2,500.00 = $7,500.00) or Plaintiff’s actual damages, whichever is greater, as the Court deems just and proper under the circumstances;

D.  An order that Defendant provide appropriate rent abatement and/or other monetary relief for the period during which Plaintiff’s quiet enjoyment has been, and continues to be, substantially interfered with;

E.  An order requiring Defendant to take reasonable steps to abate and minimize further interference with Plaintiff’s quiet enjoyment arising from the ongoing renovation, including but not limited to limiting excessively noisy work, preventing dust from entering the Premises, and/or adjusting work practices to reduce disruption;

F.  An award of Plaintiff’s costs of this action, including filing fees and other allowable costs, pursuant to G.L. c. 186, § 14 and other applicable law;

G.  An award of reasonable attorney’s fees as permitted by G.L. c. 186, § 14, should Plaintiff subsequently retain counsel and incur such fees;

H.  Such other and further legal and equitable relief as this Court deems just and proper.


### VI. JURY DEMAND

Plaintiff demands a trial by jury on all issues so triable as of right.


Respectfully submitted,  
Plaintiff,  

KEVIN THOMPSON,  
Pro Se  

  
_________________________________  
Kevin Thompson  
123 Maple Street  
Cambridge, MA 02139  
Tel: (617) 555-0123  
Email: psm1433@gmail.com  

Dated: December 1, 2025
